ws,an,gb,Emax_alpha,Wmax_alpha,Pavgmax_alpha,HBavg_alpha,IEavg_alpha,PavgW_alpha,costh_alpha
1.0,0.5,1.40,1.087596,1.207313,1.537450,2.261853,1.735324,1.537450,-0.244495
1.0,0.5,1.50,1.057413,1.162621,1.497883,2.244881,1.731781,1.497883,-0.242772
1.0,0.5,1.60,1.022105,1.118304,1.451307,2.223391,1.726291,1.451307,-0.242639
1.0,0.5,1.70,0.979085,1.055922,1.395806,2.186256,1.724248,1.395806,-0.244104
1.0,0.5,1.80,0.926056,0.997365,1.330001,2.162900,1.716465,1.330001,-0.247072
1.0,0.5,1.90,0.859386,0.881647,1.250913,2.038215,1.731001,1.250913,-0.252359
1.0,0.5,2.00,0.857437,0.833799,1.156216,2.082025,1.703148,1.156216,-0.257892
1.0,0.75,0.00,1.064728,1.317577,1.664896,2.330147,1.754754,1.664896,-0.305697
1.0,0.75,0.10,0.999171,1.304806,1.666107,2.311821,1.754115,1.666107,-0.305273
1.0,0.75,0.20,0.726685,1.396650,1.669444,2.468772,1.727876,1.669444,-0.303411
1.0,0.75,0.30,0.444398,1.386751,1.673970,2.463186,1.720696,1.673970,-0.300191
1.0,0.75,0.40,0.885857,1.368854,1.678715,2.418690,1.727750,1.678715,-0.295840
1.0,0.75,0.50,1.021130,1.363517,1.681675,2.403187,1.732606,1.681675,-0.289869
1.0,0.75,0.60,1.079111,1.386772,1.682188,2.444598,1.729765,1.682188,-0.282625
1.0,0.75,0.70,1.181266,1.338300,1.679297,2.335346,1.748838,1.679297,-0.274023
1.0,0.75,0.80,1.188368,1.314942,1.672815,2.306778,1.756905,1.672815,-0.265184
1.0,0.75,0.90,1.178344,1.304331,1.663488,2.289213,1.760843,1.663488,-0.255971
1.0,0.75,1.00,1.165261,1.291563,1.651782,2.280131,1.762607,1.651782,-0.247192
1.0,0.75,1.10,1.150617,1.255484,1.638477,2.224758,1.771737,1.638477,-0.239276
1.0,0.75,1.20,1.135573,1.229892,1.624008,2.198934,1.774685,1.624008,-0.232582
1.0,0.75,1.30,1.120484,1.218039,1.608906,2.203069,1.770642,1.608906,-0.227500
1.0,0.75,1.40,1.105685,1.202768,1.593602,2.199344,1.767252,1.593602,-0.224767
1.0,0.75,1.50,1.091540,1.170307,1.578136,2.159341,1.770944,1.578136,-0.222503
1.0,0.75,1.60,1.077881,1.146976,1.562718,2.140343,1.770101,1.562718,-0.221683
1.0,0.75,1.70,1.064840,1.144309,1.547471,2.143877,1.762921,1.547471,-0.220596
1.0,0.75,1.80,1.051928,1.104503,1.531883,2.090158,1.769369,1.531883,-0.220727
1.0,0.75,1.90,1.039567,1.102551,1.516708,2.112711,1.759354,1.516708,-0.220767
1.0,0.75,2.00,1.027339,1.088182,1.501500,2.104981,1.755488,1.501500,-0.222965
1.0,1,0.00,1.064728,1.317577,1.664896,2.330147,1.754754,1.664896,-0.305697
1.0,1,0.10,0.976376,1.325740,1.666436,2.350542,1.747471,1.666436,-0.305056
1.0,1,0.20,0.609354,1.382957,1.670945,2.436755,1.727742,1.670945,-0.303080
1.0,1,0.30,0.621383,1.360421,1.676510,2.416174,1.727322,1.676510,-0.298596
1.0,1,0.40,0.955537,1.361872,1.681542,2.400384,1.732307,1.681542,-0.292520
1.0,1,0.50,1.094845,1.347560,1.683813,2.365945,1.741919,1.683813,-0.284554
1.0,1,0.60,1.159052,1.334088,1.682846,2.323827,1.752205,1.682846,-0.274752
1.0,1,0.70,1.190891,1.324274,1.677850,2.308640,1.758056,1.677850,-0.264273
1.0,1,0.80,1.180338,1.310144,1.669097,2.294924,1.763555,1.669097,-0.253378
1.0,1,0.90,1.166414,1.290599,1.658528,2.269203,1.768691,1.658528,-0.243061
1.0,1,1.00,1.151617,1.266911,1.646711,2.242799,1.773022,1.646711,-0.233977
1.0,1,1.10,1.136881,1.256247,1.634826,2.244999,1.770462,1.634826,-0.226755
1.0,1,1.20,1.123251,1.225587,1.623120,2.203460,1.775480,1.623120,-0.221239
1.0,1,1.30,1.110888,1.186919,1.612184,2.148625,1.783229,1.612184,-0.217887
1.0,1,1.40,1.100060,1.172599,1.602169,2.140403,1.781077,1.602169,-0.215769
1.0,1,1.50,1.090687,1.150346,1.593402,2.107859,1.783518,1.593402,-0.214370
1.0,1,1.60,1.082595,1.144958,1.585697,2.106269,1.779496,1.585697,-0.211633
1.0,1,1.70,1.075565,1.149230,1.578864,2.122152,1.772101,1.578864,-0.210483
1.0,1,1.80,1.069363,1.136173,1.572735,2.110077,1.771393,1.572735,-0.210354
1.0,1,1.90,1.063794,1.129756,1.567085,2.096012,1.771029,1.567085,-0.210162
1.0,1,2.00,1.059050,1.101555,1.562084,2.056760,1.777223,1.562084,-0.206819
